S 34f6e4,4 miss eviction 
L 30c334,4 hit 
S 34f3c4,4 hit 
L 30c338,4 hit 
S 34f4d0,4 hit 
L 30c33c,4 hit 
S 34f5dc,4 hit 
L 30c340,4 miss eviction 
S 34f6e8,4 hit 
L 30c428,4 hit 
S 34f3c8,4 hit 
L 30c42c,4 hit 
S 34f4d4,4 hit 
L 30c430,4 hit 
S 34f5e0,4 miss eviction 
L 30c434,4 hit 
S 34f6ec,4 hit 
L 30c51c,4 hit 
S 34f3cc,4 hit 
L 30c520,4 miss eviction 
S 34f4d8,4 hit 
L 30c524,4 hit 
S 34f5e4,4 hit 
L 30c528,4 hit 
S 34f6f0,4 hit 
L 30c250,4 hit 
S 34f7f0,4 miss eviction 
L 30c254,4 hit 
S 34f8fc,4 miss eviction 
L 30c258,4 hit 
S 34fa08,4 miss eviction 
L 30c25c,4 hit 
S 34fb14,4 miss eviction 
L 30c344,4 hit 
S 34f7f4,4 hit 
L 30c348,4 hit 
S 34f900,4 miss eviction 
L 30c34c,4 hit 
S 34fa0c,4 hit 
L 30c350,4 hit 
S 34fb18,4 hit 
L 30c438,4 hit 
S 34f7f8,4 hit 
L 30c43c,4 hit 
S 34f904,4 hit 
L 30c440,4 miss eviction 
S 34fa10,4 hit 
L 30c444,4 hit 
S 34fb1c,4 hit 
L 30c52c,4 hit 
S 34f7fc,4 hit 
L 30c530,4 hit 
S 34f908,4 hit 
L 30c534,4 hit 
S 34fa14,4 hit 
L 30c538,4 hit 
S 34fb20,4 miss eviction 
L 30c550,4 miss eviction 
S 34c190,4 miss eviction 
L 30c554,4 hit 
S 34c29c,4 miss eviction 
L 30c558,4 hit 
S 34c3a8,4 miss eviction 
L 30c55c,4 hit 
S 34c4b4,4 miss eviction 
L 30c644,4 miss eviction 
S 34c194,4 hit 
L 30c648,4 hit 
S 34c2a0,4 miss eviction 
L 30c64c,4 hit 
S 34c3ac,4 hit 
L 30c650,4 hit 
S 34c4b8,4 hit 
L 30c738,4 miss eviction 
S 34c198,4 hit 
L 30c73c,4 hit 
S 34c2a4,4 hit 
L 30c740,4 miss eviction 
S 34c3b0,4 hit 
L 30c744,4 hit 
S 34c4bc,4 hit 
L 30c82c,4 miss eviction 
S 34c19c,4 hit 
L 30c830,4 hit 
S 34c2a8,4 hit 
L 30c834,4 hit 
S 34c3b4,4 hit 
L 30c838,4 hit 
S 34c4c0,4 miss eviction 
L 30c560,4 miss eviction 
S 34c5c0,4 miss eviction 
L 30c564,4 hit 
S 34c6cc,4 miss eviction 
L 30c568,4 hit 
S 34c7d8,4 miss eviction 
L 30c56c,4 hit 
S 34c8e4,4 miss eviction 
L 30c654,4 hit 
S 34c5c4,4 hit 
L 30c658,4 hit 
S 34c6d0,4 hit 
L 30c65c,4 hit 
S 34c7dc,4 hit 
L 30c660,4 miss eviction 
S 34c8e8,4 hit 
L 30c748,4 hit 
S 34c5c8,4 hit 
L 30c74c,4 hit 
S 34c6d4,4 hit 
L 30c750,4 hit 
S 34c7e0,4 miss eviction 
L 30c754,4 hit 
S 34c8ec,4 hit 
L 30c83c,4 hit 
S 34c5cc,4 hit 
L 30c840,4 miss eviction 
