S 34a5c0,4 miss eviction 
L 30a548,4 hit 
S 34a640,4 miss eviction 
L 30a54c,4 hit 
S 34a6c0,4 miss eviction 
L 30a550,4 hit 
S 34a740,4 miss eviction 
L 30a554,4 hit 
S 34a7c0,4 miss eviction 
L 30a558,4 hit 
S 34a840,4 miss eviction 
L 30a55c,4 hit 
S 34a8c0,4 miss eviction 
L 30a5c0,4 miss eviction 
S 34a544,4 miss eviction 
L 30a5c4,4 hit 
S 34a5c4,4 miss eviction 
L 30a5c8,4 miss eviction 
S 34a644,4 hit 
L 30a5cc,4 hit 
S 34a6c4,4 hit 
L 30a5d0,4 hit 
S 34a744,4 hit 
L 30a5d4,4 hit 
S 34a7c4,4 hit 
L 30a5d8,4 hit 
S 34a844,4 hit 
L 30a5dc,4 hit 
S 34a8c4,4 hit 
L 30a640,4 miss eviction 
S 34a548,4 hit 
L 30a644,4 hit 
S 34a5c8,4 miss eviction 
L 30a648,4 hit 
S 34a648,4 miss eviction 
L 30a64c,4 miss eviction 
S 34a6c8,4 hit 
L 30a650,4 hit 
S 34a748,4 hit 
L 30a654,4 hit 
S 34a7c8,4 hit 
L 30a658,4 hit 
S 34a848,4 hit 
L 30a65c,4 hit 
S 34a8c8,4 hit 
L 30a6c0,4 miss eviction 
S 34a54c,4 hit 
L 30a6c4,4 hit 
S 34a5cc,4 hit 
L 30a6c8,4 hit 
S 34a64c,4 miss eviction 
L 30a6cc,4 hit 
S 34a6cc,4 miss eviction 
L 30a6d0,4 miss eviction 
S 34a74c,4 hit 
L 30a6d4,4 hit 
S 34a7cc,4 hit 
L 30a6d8,4 hit 
S 34a84c,4 hit 
L 30a6dc,4 hit 
S 34a8cc,4 hit 
L 30a740,4 miss eviction 
S 34a550,4 hit 
L 30a744,4 hit 
S 34a5d0,4 hit 
L 30a748,4 hit 
S 34a650,4 hit 
L 30a74c,4 hit 
S 34a6d0,4 miss eviction 
L 30a750,4 hit 
S 34a750,4 miss eviction 
L 30a754,4 miss eviction 
S 34a7d0,4 hit 
L 30a758,4 hit 
S 34a850,4 hit 
L 30a75c,4 hit 
S 34a8d0,4 hit 
L 30a7c0,4 miss eviction 
S 34a554,4 hit 
L 30a7c4,4 hit 
S 34a5d4,4 hit 
L 30a7c8,4 hit 
S 34a654,4 hit 
L 30a7cc,4 hit 
S 34a6d4,4 hit 
L 30a7d0,4 hit 
S 34a754,4 miss eviction 
L 30a7d4,4 hit 
S 34a7d4,4 miss eviction 
L 30a7d8,4 miss eviction 
S 34a854,4 hit 
L 30a7dc,4 hit 
S 34a8d4,4 hit 
L 30a840,4 miss eviction 
S 34a558,4 hit 
L 30a844,4 hit 
S 34a5d8,4 hit 
L 30a848,4 hit 
S 34a658,4 hit 
L 30a84c,4 hit 
S 34a6d8,4 hit 
L 30a850,4 hit 
S 34a758,4 hit 
L 30a854,4 hit 
S 34a7d8,4 miss eviction 
L 30a858,4 hit 
S 34a858,4 miss eviction 
L 30a85c,4 miss eviction 
S 34a8d8,4 hit 
L 30a8c0,4 miss eviction 
S 34a55c,4 hit 
L 30a8c4,4 hit 
S 34a5dc,4 hit 
L 30a8c8,4 hit 
S 34a65c,4 hit 
L 30a8cc,4 hit 
S 34a6dc,4 hit 
L 30a8d0,4 hit 
S 34a75c,4 hit 
L 30a8d4,4 hit 
S 34a7dc,4 hit 
L 30a8d8,4 hit 
S 34a85c,4 miss eviction 
L 30a8dc,4 hit 
S 34a8dc,4 miss eviction 
L 30a560,4 miss eviction 
S 34a940,4 miss eviction 
L 30a564,4 hit 
S 34a9c0,4 miss eviction 
L 30a568,4 hit 
S 34aa40,4 miss eviction 
L 30a56c,4 hit 
S 34aac0,4 miss eviction 
L 30a570,4 hit 
S 34ab40,4 miss eviction 
L 30a574,4 hit 
S 34abc0,4 miss eviction 
L 30a578,4 hit 
S 34ac40,4 miss eviction 
L 30a57c,4 hit 
S 34acc0,4 miss eviction 
L 30a5e0,4 miss eviction 
S 34a944,4 hit 
L 30a5e4,4 hit 
S 34a9c4,4 hit 
L 30a5e8,4 hit 
S 34aa44,4 hit 
L 30a5ec,4 hit 
S 34aac4,4 hit 
L 30a5f0,4 hit 
S 34ab44,4 hit 
L 30a5f4,4 hit 
S 34abc4,4 hit 
L 30a5f8,4 hit 
S 34ac44,4 hit 
L 30a5fc,4 hit 
S 34acc4,4 hit 
L 30a660,4 miss eviction 
S 34a948,4 hit 
L 30a664,4 hit 
S 34a9c8,4 hit 
L 30a668,4 hit 
S 34aa48,4 hit 
L 30a66c,4 hit 
S 34aac8,4 hit 
L 30a670,4 hit 
S 34ab48,4 hit 
L 30a674,4 hit 
S 34abc8,4 hit 
L 30a678,4 hit 
S 34ac48,4 hit 
L 30a67c,4 hit 
S 34acc8,4 hit 
L 30a6e0,4 miss eviction 
S 34a94c,4 hit 
L 30a6e4,4 hit 
S 34a9cc,4 hit 
L 30a6e8,4 hit 
S 34aa4c,4 hit 
L 30a6ec,4 hit 
S 34aacc,4 hit 
L 30a6f0,4 hit 
S 34ab4c,4 hit 
L 30a6f4,4 hit 
S 34abcc,4 hit 
L 30a6f8,4 hit 
S 34ac4c,4 hit 
L 30a6fc,4 hit 
S 34accc,4 hit 
L 30a760,4 miss eviction 
S 34a950,4 hit 
L 30a764,4 hit 
S 34a9d0,4 hit 
L 30a768,4 hit 
S 34aa50,4 hit 
L 30a76c,4 hit 
S 34aad0,4 hit 
L 30a770,4 hit 
S 34ab50,4 hit 
L 30a774,4 hit 
S 34abd0,4 hit 
L 30a778,4 hit 
S 34ac50,4 hit 
L 30a77c,4 hit 
S 34acd0,4 hit 
L 30a7e0,4 miss eviction 
S 34a954,4 hit 
L 30a7e4,4 hit 
S 34a9d4,4 hit 
L 30a7e8,4 hit 
S 34aa54,4 hit 
L 30a7ec,4 hit 
S 34aad4,4 hit 
L 30a7f0,4 hit 
S 34ab54,4 hit 
L 30a7f4,4 hit 
S 34abd4,4 hit 
L 30a7f8,4 hit 
S 34ac54,4 hit 
L 30a7fc,4 hit 
S 34acd4,4 hit 
L 30a860,4 miss eviction 
S 34a958,4 hit 
L 30a864,4 hit 
S 34a9d8,4 hit 
L 30a868,4 hit 
S 34aa58,4 hit 
L 30a86c,4 hit 
S 34aad8,4 hit 
L 30a870,4 hit 
S 34ab58,4 hit 
L 30a874,4 hit 
S 34abd8,4 hit 
L 30a878,4 hit 
S 34ac58,4 hit 
L 30a87c,4 hit 
S 34acd8,4 hit 
L 30a8e0,4 miss eviction 
S 34a95c,4 hit 
L 30a8e4,4 hit 
S 34a9dc,4 hit 
L 30a8e8,4 hit 
S 34aa5c,4 hit 
L 30a8ec,4 hit 
S 34aadc,4 hit 
L 30a8f0,4 hit 
S 34ab5c,4 hit 
L 30a8f4,4 hit 
S 34abdc,4 hit 
L 30a8f8,4 hit 
S 34ac5c,4 hit 
L 30a8fc,4 hit 
S 34acdc,4 hit 
L 30a580,4 miss eviction 
S 34ad40,4 miss eviction 
L 30a584,4 hit 
S 34adc0,4 miss eviction 
L 30a588,4 hit 
S 34ae40,4 miss eviction 
L 30a58c,4 hit 
S 34aec0,4 miss eviction 
L 30a590,4 hit 
S 34af40,4 miss eviction 
L 30a594,4 hit 
S 34afc0,4 miss eviction 
L 30a598,4 hit 
S 34b040,4 miss eviction 
L 30a59c,4 hit 
S 34b0c0,4 miss eviction 
L 30a600,4 miss eviction 
S 34ad44,4 hit 
L 30a604,4 hit 
S 34adc4,4 hit 
L 30a608,4 hit 
S 34ae44,4 hit 
L 30a60c,4 hit 
S 34aec4,4 hit 
L 30a610,4 hit 
S 34af44,4 hit 
L 30a614,4 hit 
S 34afc4,4 hit 
L 30a618,4 hit 
S 34b044,4 hit 
L 30a61c,4 hit 
S 34b0c4,4 hit 
L 30a680,4 miss eviction 
S 34ad48,4 hit 
L 30a684,4 hit 
S 34adc8,4 hit 
L 30a688,4 hit 
S 34ae48,4 hit 
L 30a68c,4 hit 
S 34aec8,4 hit 
L 30a690,4 hit 
S 34af48,4 hit 
L 30a694,4 hit 
S 34afc8,4 hit 
L 30a698,4 hit 
S 34b048,4 hit 
L 30a69c,4 hit 
S 34b0c8,4 hit 
L 30a700,4 miss eviction 
S 34ad4c,4 hit 
L 30a704,4 hit 
S 34adcc,4 hit 
L 30a708,4 hit 
S 34ae4c,4 hit 
L 30a70c,4 hit 
S 34aecc,4 hit 
L 30a710,4 hit 
S 34af4c,4 hit 
L 30a714,4 hit 
S 34afcc,4 hit 
L 30a718,4 hit 
S 34b04c,4 hit 
L 30a71c,4 hit 
S 34b0cc,4 hit 
L 30a780,4 miss eviction 
S 34ad50,4 hit 
L 30a784,4 hit 
S 34add0,4 hit 
L 30a788,4 hit 
S 34ae50,4 hit 
L 30a78c,4 hit 
S 34aed0,4 hit 
L 30a790,4 hit 
S 34af50,4 hit 
L 30a794,4 hit 
S 34afd0,4 hit 
L 30a798,4 hit 
S 34b050,4 hit 
L 30a79c,4 hit 
S 34b0d0,4 hit 
L 30a800,4 miss eviction 
S 34ad54,4 hit 
L 30a804,4 hit 
S 34add4,4 hit 
L 30a808,4 hit 
S 34ae54,4 hit 
L 30a80c,4 hit 
S 34aed4,4 hit 
L 30a810,4 hit 
S 34af54,4 hit 
L 30a814,4 hit 
S 34afd4,4 hit 
L 30a818,4 hit 
S 34b054,4 hit 
L 30a81c,4 hit 
S 34b0d4,4 hit 
L 30a880,4 miss eviction 
S 34ad58,4 hit 
L 30a884,4 hit 
S 34add8,4 hit 
L 30a888,4 hit 
S 34ae58,4 hit 
L 30a88c,4 hit 
S 34aed8,4 hit 
L 30a890,4 hit 
S 34af58,4 hit 
L 30a894,4 hit 
S 34afd8,4 hit 
L 30a898,4 hit 
S 34b058,4 hit 
L 30a89c,4 hit 
S 34b0d8,4 hit 
L 30a900,4 miss eviction 
S 34ad5c,4 hit 
L 30a904,4 hit 
S 34addc,4 hit 
L 30a908,4 hit 
S 34ae5c,4 hit 
L 30a90c,4 hit 
S 34aedc,4 hit 
L 30a910,4 hit 
S 34af5c,4 hit 
L 30a914,4 hit 
S 34afdc,4 hit 
L 30a918,4 hit 
S 34b05c,4 hit 
L 30a91c,4 hit 
S 34b0dc,4 hit 
L 30a920,4 miss eviction 
S 34a160,4 miss eviction 
L 30a924,4 hit 
S 34a1e0,4 miss eviction 
L 30a928,4 hit 
S 34a260,4 miss eviction 
L 30a92c,4 hit 
S 34a2e0,4 miss eviction 
L 30a930,4 hit 
S 34a360,4 miss eviction 
L 30a934,4 hit 
S 34a3e0,4 miss eviction 
L 30a938,4 hit 
S 34a460,4 miss eviction 
L 30a93c,4 hit 
