S 34b9b0,4 hit 
L 30b7c4,4 hit 
S 34ba30,4 hit 
L 30b7c8,4 hit 
S 34bab0,4 hit 
L 30b7cc,4 hit 
S 34bb30,4 hit 
L 30b7d0,4 hit 
L 30b7d4,4 hit 
S 34bc30,4 hit 
L 30b7d8,4 hit 
S 34bcb0,4 hit 
L 30b7dc,4 hit 
S 34bd30,4 hit 
S 34bbb0,4 hit 
L 30b840,4 miss eviction 
S 34b9b4,4 hit 
L 30b844,4 hit 
S 34ba34,4 hit 
L 30b848,4 hit 
S 34bab4,4 hit 
L 30b84c,4 hit 
S 34bb34,4 hit 
L 30b850,4 hit 
S 34bbb4,4 hit 
L 30b854,4 hit 
L 30b858,4 hit 
S 34bcb4,4 hit 
L 30b85c,4 hit 
S 34bd34,4 hit 
S 34bc34,4 hit 
L 30b8c0,4 miss eviction 
S 34b9b8,4 hit 
L 30b8c4,4 hit 
S 34ba38,4 hit 
L 30b8c8,4 hit 
S 34bab8,4 hit 
L 30b8cc,4 hit 
S 34bb38,4 hit 
L 30b8d0,4 hit 
S 34bbb8,4 hit 
L 30b8d4,4 hit 
S 34bc38,4 hit 
L 30b8d8,4 hit 
L 30b8dc,4 hit 
S 34bd38,4 hit 
S 34bcb8,4 hit 
L 30b940,4 miss eviction 
S 34b9bc,4 hit 
L 30b944,4 hit 
S 34ba3c,4 hit 
L 30b948,4 hit 
S 34babc,4 hit 
L 30b94c,4 hit 
S 34bb3c,4 hit 
L 30b950,4 hit 
S 34bbbc,4 hit 
L 30b954,4 hit 
S 34bc3c,4 hit 
L 30b958,4 hit 
S 34bcbc,4 hit 
L 30b95c,4 hit 
S 34bd3c,4 hit 
L 30b5e0,4 miss eviction 
L 30b5e4,4 hit 
S 34be20,4 miss eviction 
L 30b5e8,4 hit 
S 34bea0,4 miss eviction 
L 30b5ec,4 hit 
S 34bf20,4 miss eviction 
L 30b5f0,4 hit 
S 34bfa0,4 miss eviction 
L 30b5f4,4 hit 
S 34c020,4 miss eviction 
L 30b5f8,4 hit 
S 34c0a0,4 miss eviction 
L 30b5fc,4 hit 
S 34c120,4 miss eviction 
S 34bda0,4 miss eviction 
L 30b660,4 miss eviction 
S 34bda4,4 hit 
L 30b664,4 hit 
L 30b668,4 hit 
S 34bea4,4 hit 
L 30b66c,4 hit 
S 34bf24,4 hit 
L 30b670,4 hit 
S 34bfa4,4 hit 
L 30b674,4 hit 
S 34c024,4 hit 
L 30b678,4 hit 
S 34c0a4,4 hit 
L 30b67c,4 hit 
S 34c124,4 hit 
S 34be24,4 hit 
L 30b6e0,4 miss eviction 
S 34bda8,4 hit 
L 30b6e4,4 hit 
S 34be28,4 hit 
L 30b6e8,4 hit 
L 30b6ec,4 hit 
S 34bf28,4 hit 
L 30b6f0,4 hit 
S 34bfa8,4 hit 
L 30b6f4,4 hit 
S 34c028,4 hit 
L 30b6f8,4 hit 
S 34c0a8,4 hit 
L 30b6fc,4 hit 
S 34c128,4 hit 
S 34bea8,4 hit 
L 30b760,4 miss eviction 
S 34bdac,4 hit 
L 30b764,4 hit 
S 34be2c,4 hit 
L 30b768,4 hit 
S 34beac,4 hit 
L 30b76c,4 hit 
L 30b770,4 hit 
S 34bfac,4 hit 
L 30b774,4 hit 
S 34c02c,4 hit 
L 30b778,4 hit 
S 34c0ac,4 hit 
L 30b77c,4 hit 
S 34c12c,4 hit 
S 34bf2c,4 hit 
L 30b7e0,4 miss eviction 
S 34bdb0,4 hit 
L 30b7e4,4 hit 
S 34be30,4 hit 
L 30b7e8,4 hit 
S 34beb0,4 hit 
L 30b7ec,4 hit 
S 34bf30,4 hit 
L 30b7f0,4 hit 
L 30b7f4,4 hit 
S 34c030,4 hit 
L 30b7f8,4 hit 
S 34c0b0,4 hit 
L 30b7fc,4 hit 
S 34c130,4 hit 
S 34bfb0,4 hit 
L 30b860,4 miss eviction 
S 34bdb4,4 hit 
L 30b864,4 hit 
S 34be34,4 hit 
L 30b868,4 hit 
S 34beb4,4 hit 
L 30b86c,4 hit 
S 34bf34,4 hit 
L 30b870,4 hit 
S 34bfb4,4 hit 
L 30b874,4 hit 
L 30b878,4 hit 
S 34c0b4,4 hit 
L 30b87c,4 hit 
S 34c134,4 hit 
S 34c034,4 hit 
L 30b8e0,4 miss eviction 
S 34bdb8,4 hit 
L 30b8e4,4 hit 
S 34be38,4 hit 
L 30b8e8,4 hit 
S 34beb8,4 hit 
L 30b8ec,4 hit 
S 34bf38,4 hit 
L 30b8f0,4 hit 
S 34bfb8,4 hit 
L 30b8f4,4 hit 
S 34c038,4 hit 
L 30b8f8,4 hit 
L 30b8fc,4 hit 
S 34c138,4 hit 
S 34c0b8,4 hit 
L 30b960,4 miss eviction 
S 34bdbc,4 hit 
L 30b964,4 hit 
S 34be3c,4 hit 
L 30b968,4 hit 
S 34bebc,4 hit 
L 30b96c,4 hit 
S 34bf3c,4 hit 
L 30b970,4 hit 
S 34bfbc,4 hit 
L 30b974,4 hit 
S 34c03c,4 hit 
L 30b978,4 hit 
S 34c0bc,4 hit 
L 30b97c,4 hit 
S 34c13c,4 hit 
L 30b980,4 miss eviction 
L 30b984,4 hit 
S 34b240,4 miss eviction 
L 30b988,4 hit 
S 34b2c0,4 miss eviction 
L 30b98c,4 hit 
S 34b340,4 miss eviction 
L 30b990,4 hit 
S 34b3c0,4 miss eviction 
L 30b994,4 hit 
S 34b440,4 miss eviction 
L 30b998,4 hit 
S 34b4c0,4 miss eviction 
L 30b99c,4 hit 
S 34b540,4 miss eviction 
S 34b1c0,4 miss eviction 
L 30ba00,4 miss eviction 
S 34b1c4,4 hit 
L 30ba04,4 hit 
L 30ba08,4 hit 
S 34b2c4,4 hit 
L 30ba0c,4 hit 
S 34b344,4 hit 
L 30ba10,4 hit 
S 34b3c4,4 hit 
L 30ba14,4 hit 
S 34b444,4 hit 
L 30ba18,4 hit 
S 34b4c4,4 hit 
L 30ba1c,4 hit 
