L 30cce0,4 miss 
S 34bc80,4 hit 
L 30cce4,4 hit 
S 34bc84,4 hit 
L 30cce8,4 hit 
S 34bc88,4 hit 
L 30ccec,4 hit 
S 34bc8c,4 hit 
L 30ccf0,4 hit 
S 34bc90,4 hit 
L 30ccf4,4 hit 
S 34bc94,4 hit 
L 30ccf8,4 hit 
S 34bc98,4 hit 
L 30ccfc,4 hit 
S 34bc9c,4 hit 
L 34b980,4 hit 
S 34c9e0,4 miss eviction 
L 34b984,4 hit 
S 34cae0,4 miss eviction 
L 34b988,4 hit 
S 34cbe0,4 miss eviction 
L 34b98c,4 hit 
S 34cce0,4 miss eviction 
L 34ba80,4 hit 
S 34c9e4,4 hit 
L 34ba84,4 hit 
S 34cae4,4 hit 
L 34ba88,4 hit 
S 34cbe4,4 hit 
L 34ba8c,4 hit 
S 34cce4,4 hit 
L 34bb80,4 hit 
S 34c9e8,4 hit 
L 34bb84,4 hit 
S 34cae8,4 hit 
L 34bb88,4 hit 
S 34cbe8,4 hit 
L 34bb8c,4 hit 
S 34cce8,4 hit 
L 34bc80,4 hit 
S 34c9ec,4 hit 
L 34bc84,4 hit 
S 34caec,4 hit 
L 34bc88,4 hit 
S 34cbec,4 hit 
L 34bc8c,4 hit 
S 34ccec,4 hit 
L 34b990,4 hit 
S 34cde0,4 miss eviction 
L 34b994,4 hit 
S 34cee0,4 miss eviction 
L 34b998,4 hit 
S 34cfe0,4 miss eviction 
L 34b99c,4 hit 
S 34d0e0,4 miss eviction 
L 34ba90,4 hit 
S 34cde4,4 hit 
L 34ba94,4 hit 
S 34cee4,4 hit 
L 34ba98,4 hit 
S 34cfe4,4 hit 
L 34ba9c,4 hit 
S 34d0e4,4 hit 
L 34bb90,4 hit 
S 34cde8,4 hit 
L 34bb94,4 hit 
S 34cee8,4 hit 
L 34bb98,4 hit 
S 34cfe8,4 hit 
L 34bb9c,4 hit 
S 34d0e8,4 hit 
L 34bc90,4 hit 
S 34cdec,4 hit 
L 34bc94,4 hit 
S 34ceec,4 hit 
L 34bc98,4 hit 
S 34cfec,4 hit 
L 34bc9c,4 hit 
S 34d0ec,4 hit 
L 30cde0,4 miss eviction 
S 34b980,4 hit 
L 30cde4,4 hit 
S 34b984,4 hit 
L 30cde8,4 hit 
S 34b988,4 hit 
L 30cdec,4 hit 
S 34b98c,4 hit 
L 30cdf0,4 hit 
S 34b990,4 hit 
L 30cdf4,4 hit 
S 34b994,4 hit 
L 30cdf8,4 hit 
S 34b998,4 hit 
L 30cdfc,4 hit 
S 34b99c,4 hit 
L 30cee0,4 miss eviction 
S 34ba80,4 hit 
L 30cee4,4 hit 
S 34ba84,4 hit 
L 30cee8,4 hit 
S 34ba88,4 hit 
L 30ceec,4 hit 
S 34ba8c,4 hit 
L 30cef0,4 hit 
S 34ba90,4 hit 
L 30cef4,4 hit 
S 34ba94,4 hit 
L 30cef8,4 hit 
S 34ba98,4 hit 
L 30cefc,4 hit 
S 34ba9c,4 hit 
L 30cfe0,4 miss eviction 
S 34bb80,4 hit 
L 30cfe4,4 hit 
S 34bb84,4 hit 
L 30cfe8,4 hit 
S 34bb88,4 hit 
L 30cfec,4 hit 
S 34bb8c,4 hit 
L 30cff0,4 hit 
S 34bb90,4 hit 
L 30cff4,4 hit 
S 34bb94,4 hit 
L 30cff8,4 hit 
S 34bb98,4 hit 
L 30cffc,4 hit 
S 34bb9c,4 hit 
L 30d0e0,4 miss eviction 
S 34bc80,4 hit 
L 30d0e4,4 hit 
S 34bc84,4 hit 
L 30d0e8,4 hit 
S 34bc88,4 hit 
L 30d0ec,4 hit 
S 34bc8c,4 hit 
L 30d0f0,4 hit 
S 34bc90,4 hit 
L 30d0f4,4 hit 
S 34bc94,4 hit 
L 30d0f8,4 hit 
S 34bc98,4 hit 
L 30d0fc,4 hit 
S 34bc9c,4 hit 
L 34b980,4 hit 
S 34c9f0,4 miss eviction 
L 34b984,4 hit 
S 34caf0,4 miss eviction 
L 34b988,4 hit 
S 34cbf0,4 miss eviction 
L 34b98c,4 hit 
S 34ccf0,4 miss eviction 
L 34ba80,4 hit 
S 34c9f4,4 hit 
L 34ba84,4 hit 
S 34caf4,4 hit 
L 34ba88,4 hit 
S 34cbf4,4 hit 
L 34ba8c,4 hit 
S 34ccf4,4 hit 
L 34bb80,4 hit 
S 34c9f8,4 hit 
L 34bb84,4 hit 
S 34caf8,4 hit 
L 34bb88,4 hit 
S 34cbf8,4 hit 
L 34bb8c,4 hit 
S 34ccf8,4 hit 
L 34bc80,4 hit 
S 34c9fc,4 hit 
L 34bc84,4 hit 
S 34cafc,4 hit 
L 34bc88,4 hit 
S 34cbfc,4 hit 
L 34bc8c,4 hit 
S 34ccfc,4 hit 
L 34b990,4 hit 
S 34cdf0,4 miss eviction 
L 34b994,4 hit 
S 34cef0,4 miss eviction 
L 34b998,4 hit 
S 34cff0,4 miss eviction 
L 34b99c,4 hit 
S 34d0f0,4 miss eviction 
L 34ba90,4 hit 
S 34cdf4,4 hit 
L 34ba94,4 hit 
S 34cef4,4 hit 
L 34ba98,4 hit 
S 34cff4,4 hit 
L 34ba9c,4 hit 
S 34d0f4,4 hit 
L 34bb90,4 hit 
S 34cdf8,4 hit 
L 34bb94,4 hit 
S 34cef8,4 hit 
L 34bb98,4 hit 
S 34cff8,4 hit 
L 34bb9c,4 hit 
S 34d0f8,4 hit 
L 34bc90,4 hit 
S 34cdfc,4 hit 
L 34bc94,4 hit 
S 34cefc,4 hit 
L 34bc98,4 hit 
S 34cffc,4 hit 
L 34bc9c,4 hit 
S 34d0fc,4 hit 
L 30d200,4 miss 
S 34b980,4 hit 
L 30d204,4 hit 
S 34b984,4 hit 
L 30d208,4 hit 
S 34b988,4 hit 
